epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2063,1.70935,3.54413,1.54181,0.00977,0.68678,0.15087,0.08418,1.33377,3.10228,1.22525,0.00013336,0.00013336,0.00013336
2,10.8425,1.40727,2.96796,1.26744,0.01146,0.83374,0.4367,0.26026,1.22164,3.00464,1.18091,0.000280584,0.000280584,0.000280584
3,13.4811,1.34048,2.0467,1.24128,0.01192,0.84442,0.40245,0.25023,1.2413,2.92833,1.22769,0.000424838,0.000424838,0.000424838
4,15.9407,1.28007,1.69575,1.20998,0.01231,0.89204,0.52331,0.32095,1.18174,2.91575,1.25396,0.000566122,0.000566122,0.000566122
5,18.3701,1.23198,1.56213,1.1859,0.01158,0.82718,0.5204,0.32329,1.24576,2.75791,1.23134,0.000704434,0.000704434,0.000704434
6,20.7652,1.12595,1.40981,1.12529,0.90786,0.02586,0.1283,0.07087,1.31482,3.00374,1.36915,0.000839776,0.000839776,0.000839776
7,23.148,1.14999,1.37349,1.12952,0.71933,0.26971,0.31224,0.17789,1.28301,2.97086,1.35328,0.000972148,0.000972148,0.000972148
8,25.5458,1.14425,1.30725,1.12401,0.77166,0.13725,0.26669,0.17189,1.32828,2.86037,1.41091,0.00110155,0.00110155,0.00110155
9,27.926,1.09364,1.232,1.10184,0.82984,0.21663,0.33044,0.19886,1.38887,2.8729,1.45579,0.00122798,0.00122798,0.00122798
10,30.3458,1.07991,1.17351,1.09373,0.24062,0.18144,0.14825,0.05677,1.61913,2.81278,1.67629,0.00135144,0.00135144,0.00135144
11,32.626,1.0894,1.18482,1.11379,0.48891,0.27729,0.32856,0.17485,1.70304,2.44571,1.59426,0.00147193,0.00147193,0.00147193
12,35.0359,1.01598,1.08952,1.07244,0.43857,0.31996,0.38557,0.22526,1.55916,2.55478,1.50209,0.00148546,0.00148546,0.00148546
13,37.4695,1.05888,1.06637,1.07957,0.50063,0.53178,0.40336,0.2268,1.38284,2.40711,1.46423,0.00146896,0.00146896,0.00146896
14,39.8139,1.07357,1.09322,1.09949,0.88545,0.42679,0.69053,0.43537,1.27075,1.62336,1.38388,0.00145246,0.00145246,0.00145246
15,42.1936,1.00938,1.00692,1.05571,0.75111,0.54648,0.68271,0.38923,1.36643,1.69764,1.32205,0.00143595,0.00143595,0.00143595
16,44.5649,1.02676,1.04218,1.07517,0.8249,0.63735,0.73007,0.42146,1.4557,1.57427,1.36139,0.00141945,0.00141945,0.00141945
17,46.9051,0.96526,0.98251,1.04471,0.80552,0.52766,0.67475,0.39217,1.34185,1.44036,1.37524,0.00140295,0.00140295,0.00140295
18,49.0661,0.93764,0.95692,1.04615,0.62078,0.49056,0.47192,0.27819,1.36039,2.02041,1.35306,0.00138644,0.00138644,0.00138644
19,51.2776,0.9124,0.90537,1.02196,0.49473,0.32262,0.33235,0.20908,1.35377,2.50804,1.41295,0.00136994,0.00136994,0.00136994
20,53.4595,0.89966,0.87965,1.01514,0.94427,0.55747,0.68741,0.45282,1.17787,1.58406,1.2383,0.00135344,0.00135344,0.00135344
21,55.6709,0.91277,0.88264,1.02682,0.81283,0.78803,0.83375,0.56395,1.16024,1.01633,1.24174,0.00133693,0.00133693,0.00133693
22,58.0182,0.89592,0.85895,1.01282,0.87755,0.67697,0.80944,0.54504,1.14964,0.9935,1.25875,0.00132043,0.00132043,0.00132043
23,60.2961,0.90745,0.8851,1.01592,0.84234,0.70047,0.79619,0.49432,1.20643,1.0881,1.34691,0.00130393,0.00130393,0.00130393
24,62.5428,0.8699,0.83473,1.01373,0.881,0.78517,0.83354,0.55258,1.07055,0.97408,1.21277,0.00128742,0.00128742,0.00128742
25,64.9367,0.85253,0.81934,0.9955,0.80357,0.71458,0.76959,0.46497,1.28649,1.06927,1.34197,0.00127092,0.00127092,0.00127092
26,67.3566,0.85924,0.79697,0.9824,0.6597,0.56614,0.57798,0.30576,1.77343,1.5527,1.70544,0.00125442,0.00125442,0.00125442
27,69.759,0.8607,0.79861,1.0003,0.858,0.5119,0.64567,0.33396,1.70417,1.38517,1.71203,0.00123791,0.00123791,0.00123791
28,72.1685,0.82158,0.78162,0.99054,0.81358,0.48604,0.56957,0.24183,2.08813,1.73711,2.06784,0.00122141,0.00122141,0.00122141
29,74.5335,0.83929,0.75888,0.98763,0.86684,0.62438,0.71332,0.40626,1.53957,1.26634,1.5259,0.00120491,0.00120491,0.00120491
30,76.8528,0.80055,0.74959,0.97099,0.88073,0.67375,0.78131,0.51772,1.14057,0.96447,1.24355,0.0011884,0.0011884,0.0011884
31,79.0426,0.82106,0.74078,0.98788,0.7001,0.79475,0.76965,0.53946,1.10979,0.85921,1.20993,0.0011719,0.0011719,0.0011719
32,81.3082,0.81562,0.74857,0.98338,0.83275,0.67637,0.78336,0.52257,1.1007,0.93999,1.22027,0.0011554,0.0011554,0.0011554
33,83.5536,0.78788,0.70021,0.97644,0.8022,0.81856,0.81982,0.55717,1.06589,0.97738,1.18268,0.00113889,0.00113889,0.00113889
34,85.7082,0.78487,0.70037,0.9812,0.7786,0.78006,0.76648,0.47401,1.3347,1.11038,1.35958,0.00112239,0.00112239,0.00112239
35,87.8815,0.79184,0.70641,0.95292,0.8053,0.74097,0.71884,0.46555,1.27574,1.28588,1.36786,0.00110589,0.00110589,0.00110589
36,90.0613,0.81587,0.71289,0.98249,0.87903,0.79503,0.82395,0.58335,1.01384,0.91586,1.15931,0.00108938,0.00108938,0.00108938
37,92.3214,0.73809,0.64773,0.94857,0.88428,0.76683,0.84309,0.59292,1.01951,0.8822,1.16467,0.00107288,0.00107288,0.00107288
38,94.7088,0.75481,0.64665,0.9554,0.76572,0.81267,0.82264,0.58792,1.01401,0.88107,1.16874,0.00105638,0.00105638,0.00105638
39,97.0829,0.74305,0.63851,0.94732,0.73919,0.89506,0.85853,0.62095,0.97719,0.99574,1.1581,0.00103987,0.00103987,0.00103987
40,99.484,0.71778,0.6333,0.94313,0.84074,0.79478,0.86473,0.60459,1.05596,0.8787,1.22656,0.00102337,0.00102337,0.00102337
41,101.878,0.71239,0.62406,0.94184,0.84117,0.7344,0.82014,0.57058,1.01601,0.89958,1.18581,0.00100687,0.00100687,0.00100687
42,104.225,0.73659,0.64101,0.96119,0.84341,0.79146,0.80879,0.55791,1.06017,0.86666,1.21249,0.000990365,0.000990365,0.000990365
43,106.561,0.72425,0.61087,0.94,0.79267,0.80993,0.81311,0.57737,0.9815,0.8119,1.15376,0.000973861,0.000973861,0.000973861
44,108.833,0.7029,0.60753,0.93658,0.87773,0.72811,0.85284,0.57007,0.99371,0.84355,1.17954,0.000957358,0.000957358,0.000957358
45,111.018,0.69241,0.61117,0.94786,0.85526,0.78407,0.83604,0.54362,1.05138,0.83877,1.22107,0.000940855,0.000940855,0.000940855
46,113.263,0.69656,0.60307,0.93937,0.91434,0.78407,0.84573,0.58586,1.02228,0.7908,1.15503,0.000924352,0.000924352,0.000924352
47,115.516,0.69141,0.56717,0.9239,0.90127,0.78407,0.85509,0.60062,0.98487,0.81786,1.14505,0.000907848,0.000907848,0.000907848
48,117.688,0.66008,0.55811,0.91718,0.91188,0.75967,0.82999,0.60954,0.95273,0.81929,1.12516,0.000891345,0.000891345,0.000891345
49,119.918,0.70892,0.5924,0.94559,0.90698,0.79269,0.81419,0.55282,1.08768,0.8725,1.18995,0.000874842,0.000874842,0.000874842
50,122.127,0.68309,0.57064,0.91833,0.83039,0.79704,0.81042,0.55859,1.09074,0.84418,1.21095,0.000858338,0.000858338,0.000858338
51,124.522,0.65129,0.54832,0.9157,0.9132,0.74074,0.81541,0.58272,1.0057,0.7959,1.1653,0.000841835,0.000841835,0.000841835
52,126.941,0.68034,0.55873,0.9244,0.89784,0.74484,0.83562,0.57846,1.03443,0.79448,1.19198,0.000825332,0.000825332,0.000825332
53,129.327,0.65901,0.5579,0.92303,0.85981,0.77964,0.83545,0.59275,0.93568,0.81913,1.10869,0.000808828,0.000808828,0.000808828
54,131.705,0.64631,0.54165,0.91393,0.86955,0.83374,0.85947,0.58805,0.92258,0.77233,1.1478,0.000792325,0.000792325,0.000792325
55,134.075,0.63812,0.55006,0.90992,0.90501,0.80698,0.87356,0.59381,0.96364,0.74505,1.17089,0.000775822,0.000775822,0.000775822
56,136.395,0.64083,0.52988,0.92046,0.87233,0.82732,0.83628,0.58536,0.97702,0.80319,1.19317,0.000759318,0.000759318,0.000759318
57,138.64,0.65115,0.51757,0.91803,0.82745,0.79458,0.81919,0.58229,0.99466,0.80007,1.2196,0.000742815,0.000742815,0.000742815
58,140.914,0.6263,0.52337,0.91272,0.87903,0.77181,0.82801,0.58613,0.99015,0.75413,1.17427,0.000726312,0.000726312,0.000726312
59,143.11,0.60085,0.50267,0.89753,0.81414,0.87685,0.87211,0.58506,0.97369,0.71947,1.19042,0.000709809,0.000709809,0.000709809
60,145.278,0.63396,0.50998,0.91362,0.87376,0.80131,0.88917,0.61703,0.95407,0.76588,1.13897,0.000693305,0.000693305,0.000693305
61,147.522,0.63461,0.52908,0.91534,0.85454,0.82994,0.88684,0.6198,0.9339,0.77806,1.14125,0.000676802,0.000676802,0.000676802
62,149.718,0.62,0.49748,0.90196,0.86717,0.80131,0.88246,0.62973,0.93088,0.7746,1.12891,0.000660299,0.000660299,0.000660299
63,151.93,0.61167,0.50708,0.90275,0.90032,0.79069,0.8659,0.61925,0.9564,0.79829,1.13593,0.000643795,0.000643795,0.000643795
64,154.315,0.60008,0.49638,0.9067,0.90173,0.75878,0.86519,0.60428,0.95231,0.7762,1.11769,0.000627292,0.000627292,0.000627292
65,156.749,0.62544,0.50434,0.89997,0.91274,0.80131,0.86424,0.63477,0.89436,0.76656,1.09218,0.000610789,0.000610789,0.000610789
66,159.168,0.59167,0.4984,0.89851,0.90613,0.76869,0.85553,0.62227,0.8737,0.83776,1.09733,0.000594286,0.000594286,0.000594286
67,161.529,0.58421,0.4693,0.89303,0.87213,0.7344,0.83931,0.61939,0.90358,0.95361,1.11223,0.000577782,0.000577782,0.000577782
68,163.887,0.5858,0.49005,0.89969,0.9169,0.72846,0.83562,0.59462,0.93278,0.98413,1.12728,0.000561279,0.000561279,0.000561279
69,166.241,0.58418,0.47033,0.8863,0.92981,0.74097,0.84723,0.61137,0.92836,0.90519,1.13349,0.000544776,0.000544776,0.000544776
70,168.504,0.59246,0.50013,0.91181,0.84047,0.78582,0.836,0.62446,0.93418,0.89041,1.13458,0.000528272,0.000528272,0.000528272
71,170.755,0.57494,0.47614,0.89524,0.88114,0.82954,0.84952,0.62657,0.91427,0.83065,1.12765,0.000511769,0.000511769,0.000511769
72,173.137,0.59823,0.48413,0.89544,0.86657,0.80934,0.84696,0.61747,0.93172,0.79607,1.15363,0.000495266,0.000495266,0.000495266
73,175.557,0.56656,0.46455,0.88684,0.8772,0.80993,0.8608,0.6209,0.89027,0.73212,1.12648,0.000478762,0.000478762,0.000478762
74,177.887,0.56665,0.45455,0.89783,0.84809,0.80993,0.85355,0.6026,0.92593,0.72783,1.14786,0.000462259,0.000462259,0.000462259
75,180.228,0.58588,0.4725,0.89464,0.84094,0.7953,0.85135,0.61778,0.90229,0.74894,1.12907,0.000445756,0.000445756,0.000445756
76,182.637,0.57306,0.47041,0.88637,0.89913,0.75607,0.8574,0.62828,0.88803,0.74725,1.11252,0.000429253,0.000429253,0.000429253
77,185.108,0.56341,0.45882,0.88881,0.86099,0.75783,0.84191,0.61433,0.89802,0.78868,1.1358,0.000412749,0.000412749,0.000412749
78,187.478,0.56212,0.45258,0.89219,0.86593,0.74728,0.85122,0.62742,0.87431,0.7505,1.11276,0.000396246,0.000396246,0.000396246
79,189.851,0.55045,0.43914,0.87655,0.88179,0.80426,0.88542,0.64929,0.87042,0.72996,1.09678,0.000379743,0.000379743,0.000379743
80,192.227,0.55221,0.4529,0.88049,0.79543,0.84088,0.87674,0.62627,0.88948,0.71871,1.09997,0.000363239,0.000363239,0.000363239
81,194.564,0.57116,0.4637,0.89738,0.86958,0.83108,0.86857,0.6198,0.88224,0.7044,1.12312,0.000346736,0.000346736,0.000346736
82,196.911,0.53769,0.44232,0.87868,0.8163,0.84236,0.86202,0.61207,0.93052,0.69873,1.14388,0.000330233,0.000330233,0.000330233
83,199.222,0.53178,0.4343,0.87456,0.83267,0.81866,0.86846,0.62837,0.90486,0.69938,1.12755,0.000313729,0.000313729,0.000313729
84,201.577,0.5085,0.41962,0.86504,0.84011,0.82613,0.87433,0.65089,0.89013,0.69543,1.13101,0.000297226,0.000297226,0.000297226
85,203.829,0.52915,0.42474,0.86395,0.85916,0.79147,0.87981,0.6539,0.8887,0.70605,1.12273,0.000280723,0.000280723,0.000280723
86,206.12,0.54554,0.43879,0.88355,0.8512,0.82458,0.87601,0.6556,0.86521,0.70319,1.10851,0.00026422,0.00026422,0.00026422
87,208.505,0.51728,0.4111,0.87153,0.86111,0.83445,0.87172,0.6522,0.86664,0.6968,1.10171,0.000247716,0.000247716,0.000247716
88,210.889,0.51482,0.42088,0.88158,0.84753,0.8358,0.85959,0.63347,0.87135,0.72783,1.10669,0.000231213,0.000231213,0.000231213
89,213.326,0.51771,0.41998,0.88593,0.84577,0.8358,0.84812,0.63367,0.8478,0.74176,1.09937,0.00021471,0.00021471,0.00021471
90,215.837,0.50325,0.41671,0.86962,0.86479,0.81069,0.84865,0.63485,0.84595,0.74905,1.10493,0.000198206,0.000198206,0.000198206
91,258.007,0.45854,0.37987,0.84547,0.80174,0.83074,0.8454,0.63919,0.82966,0.74329,1.09776,0.000181703,0.000181703,0.000181703
92,260.387,0.43962,0.36309,0.82416,0.83952,0.80131,0.86138,0.64135,0.81374,0.73321,1.09526,0.0001652,0.0001652,0.0001652
93,262.675,0.41819,0.34669,0.81724,0.84584,0.79857,0.86637,0.64105,0.81846,0.72193,1.09671,0.000148696,0.000148696,0.000148696
94,264.957,0.41108,0.34814,0.81543,0.8443,0.78401,0.86368,0.63393,0.85249,0.71759,1.11577,0.000132193,0.000132193,0.000132193
